date 风险 省 市 区 病例街道数量
2022-10-17 中 内蒙古自治区 鄂尔多斯市 鄂托克前旗 3
2022-10-17 中 内蒙古自治区 鄂尔多斯市 杭锦旗 1
2022-10-17 中 内蒙古自治区 呼伦贝尔市 海拉尔区 7
2022-10-17 中 内蒙古自治区 呼伦贝尔市 阿荣旗 2
2022-10-17 中 内蒙古自治区 呼伦贝尔市 鄂伦春自治旗 1
2022-10-17 中 内蒙古自治区 呼伦贝尔市 鄂温克族自治旗 9
2022-10-17 中 内蒙古自治区 呼伦贝尔市 新巴尔虎左旗 3
2022-10-17 中 内蒙古自治区 呼伦贝尔市 新巴尔虎右旗 9
2022-10-17 中 内蒙古自治区 巴彦淖尔市 临河区 2
2022-10-17 中 内蒙古自治区 乌兰察布市 集宁区 2
2022-10-17 中 内蒙古自治区 乌兰察布市 卓资县 16
2022-10-17 中 内蒙古自治区 乌兰察布市 商都县 3
2022-10-17 中 内蒙古自治区 兴安盟 乌兰浩特市 3
2022-10-17 中 辽宁省 沈阳市 浑南区 3
2022-10-17 中 辽宁省 沈阳市 于洪区 1
2022-10-17 中 辽宁省 鞍山市 立山区 2
2022-10-17 中 辽宁省 鞍山市 台安县 4
2022-10-17 中 辽宁省 鞍山市 海城市 6
2022-10-17 中 辽宁省 抚顺市 新抚区 2
2022-10-17 中 辽宁省 抚顺市 顺城区 13
2022-10-17 中 辽宁省 抚顺市 清原满族自治县 8
2022-10-17 中 辽宁省 朝阳市 双塔区 10
2022-10-17 中 辽宁省 朝阳市 龙城区 1
2022-10-17 中 辽宁省 朝阳市 朝阳县 2
2022-10-17 中 辽宁省 葫芦岛市 连山区 7
2022-10-17 中 辽宁省 葫芦岛市 南票区 1
2022-10-17 中 辽宁省 葫芦岛市 绥中县 1
2022-10-17 中 吉林省 长春市 宽城区 2
2022-10-17 中 吉林省 通化市 东昌区 1
2022-10-17 中 黑龙江省 齐齐哈尔市 富裕县 1
2022-10-17 中 黑龙江省 鹤岗市 兴安区 1
2022-10-17 中 黑龙江省 黑河市 爱辉区 8
2022-10-17 中 黑龙江省 绥化市 兰西县 3
2022-10-17 中 黑龙江省 绥化市 肇东市 14
2022-10-17 中 上海市 上海市 黄浦区 2
2022-10-17 中 上海市 上海市 长宁区 1
2022-10-17 中 上海市 上海市 静安区 5
2022-10-17 中 上海市 上海市 普陀区 8
2022-10-17 中 上海市 上海市 虹口区 2
2022-10-17 中 上海市 上海市 杨浦区 10
2022-10-17 中 上海市 上海市 闵行区 6
2022-10-17 中 上海市 上海市 宝山区 12
2022-10-17 中 上海市 上海市 嘉定区 2
2022-10-17 中 上海市 上海市 浦东新区 4
2022-10-17 中 上海市 上海市 金山区 8
2022-10-17 中 上海市 上海市 松江区 4
2022-10-17 中 上海市 上海市 青浦区 3
2022-10-17 中 上海市 上海市 崇明区 1
2022-10-17 中 江苏省 南京市 秦淮区 7
2022-10-17 中 江苏省 南京市 浦口区 1
2022-10-17 中 江苏省 南京市 栖霞区 2
2022-10-17 中 江苏省 南京市 雨花台区 4
2022-10-17 中 江苏省 南京市 江北新区 5
2022-10-17 中 江苏省 无锡市 梁溪区 1
2022-10-17 中 江苏省 无锡市 新吴区 2
2022-10-17 中 江苏省 徐州市 沛县 8
2022-10-17 中 江苏省 苏州市 吴中区 1
2022-10-17 中 江苏省 苏州市 姑苏区 6
2022-10-17 中 江苏省 苏州市 吴江区 1
2022-10-17 中 江苏省 南通市 海安市 7
2022-10-17 中 江苏省 连云港市 连云区 1
2022-10-17 中 江苏省 连云港市 东海县 5
2022-10-17 中 江苏省 扬州市 江都区 1
2022-10-17 中 江苏省 泰州市 海陵区 9
2022-10-17 中 安徽省 阜阳市 太和县 2
2022-10-17 中 山东省 济南市 商河县 3
2022-10-17 中 山东省 淄博市 张店区 1
2022-10-17 中 山东省 济宁市 泗水县 1
2022-10-17 中 山东省 泰安市 泰山区 1
2022-10-17 中 山东省 泰安市 岱岳区 2
2022-10-17 中 山东省 泰安市 肥城市 5
2022-10-17 中 山东省 滨州市 阳信县 5
2022-10-17 中 山东省 菏泽市 定陶区 3
2022-10-17 中 山东省 菏泽市 曹县 5
2022-10-17 中 河南省 郑州市 中原区 9
2022-10-17 中 河南省 郑州市 二七区 5
2022-10-17 中 河南省 郑州市 金水区 5
2022-10-17 中 湖南省 长沙市 开福区 3
2022-10-17 中 湖南省 湘潭市 雨湖区 1
2022-10-17 中 湖南省 衡阳市 衡阳县 4
2022-10-17 中 湖南省 衡阳市 衡南县 2
2022-10-17 中 湖南省 衡阳市 常宁市 1
2022-10-17 中 湖南省 邵阳市 邵东市 4
2022-10-17 中 湖南省 邵阳市 邵阳县 2
2022-10-17 中 湖南省 岳阳市 君山区 3
2022-10-17 中 湖南省 常德市 澧县 2
2022-10-17 中 湖南省 常德市 津市市 2
2022-10-17 中 湖南省 湘西土家族苗族自治州 凤凰县 4
2022-10-17 中 湖南省 湘西土家族苗族自治州 龙山县 11
2022-10-17 中 广东省 广州市 花都区 1
2022-10-17 中 广东省 深圳市 罗湖区 1
2022-10-17 中 广东省 深圳市 福田区 6
2022-10-17 中 广东省 深圳市 南山区 19
2022-10-17 中 广东省 深圳市 宝安区 18
2022-10-17 中 广东省 深圳市 龙华区 4
2022-10-17 中 广东省 深圳市 光明区 1
2022-10-17 中 广东省 佛山市 南海区 1
2022-10-17 中 广东省 惠州市 惠城区 2
